COMPONENTE/AZIONE,PREZZO_MIN_€,PREZZO_MAX_€,INTERVALLO_KM_O_TEMPO
Cambio Olio Motore,80,150,15.000 km
Filtro Olio,15,30,15.000 km
Filtro Aria,20,50,30.000 km
Filtro Abitacolo,20,45,15.000 km
Filtro Carburante (Diesel),40,90,40.000 km
Tagliando Completo Base,200,450,20.000 km
Pastiglie Freni Anteriori,80,160,40.000 km
Pastiglie Freni Posteriori,60,130,50.000 km
Dischi Freno Anteriori (Coppia),150,350,80.000 km
Kit Cinghia Distribuzione,450,900,100.000 km
Pompa dell'Acqua,150,300,100.000 km
Kit Frizione,400,900,120.000 km
Pneumatici (4 gomme medie),320,750,45.000 km
Batteria standard,80,180,4-5 anni
Ammortizzatori (4 pezzi),450,950,90.000 km
Candele d'accensione (4 pz),50,120,50.000 km
Candelette (4 pz - Diesel),80,200,80.000 km
Ricarica Climatizzatore,60,130,2 anni
Liquido Freni (Sostituzione),50,90,2 anni
Liquido Refrigerante,40,70,4 anni
Spazzole Tergicristallo,25,55,1 anno
Revisione Ministeriale,79,79,2 anni
Olio Cambio Manuale,60,110,100.000 km
Olio Cambio Automatico,250,550,60.000 km
Convergenza ed Equilibratura,45,85,20.000 km
Lampadine fari (Coppia H7),20,50,Al guasto
Pulizia Valvola EGR,120,280,80.000 km
Cinghia Servizi,60,140,70.000 km
Braccetti Sospensione (Coppia),150,350,100.000 km
Cuscinetto Ruota,100,220,120.000 km
