Regione,Euro 4-5-6 (€ / kW),Euro 3 (€ / kW),Euro 0-1-2 (€ / kW)
Abruzzo,2.58,2.7,3.0
Basilicata,2.58,2.7,3.0
Calabria,2.84,2.98,3.12
Campania,2.84,2.98,3.12
Emilia-Romagna,2.58,2.7,3.0
Friuli Venezia Giulia,2.58,2.7,3.0
Lazio,2.84,2.98,3.12
Liguria,2.84,2.98,3.12
Lombardia (con RID),2.19,2.3,2.55
Marche,2.58,2.7,3.0
Molise,2.84,2.98,3.12
Piemonte,2.58,2.7,3.0
Puglia,2.84,2.98,3.12
Sardegna,2.84,2.98,3.12
Sicilia,2.84,2.98,3.12
Toscana,2.58,2.7,3.0
Trentino-Alto Adige,2.58,2.7,3.0
Umbria,2.58,2.7,3.0
Valle d’Aosta,2.58,2.7,3.0
Veneto,2.58,2.7,3.0
Provincia autonoma di Trento,2.58,2.7,3.0
Provincia autonoma di Bolzano,2.58,2.7,3.0
